date,open,high,low,close,volume
2024-03-07 09:15:00,48035.8,48071.7,47954.4,47985.0,0
2024-03-07 09:16:00,47987.85,48007.7,47981.0,48001.7,0
2024-03-07 09:17:00,48004.85,48040.95,48003.3,48037.0,0
2024-03-07 09:18:00,48037.2,48055.0,48027.9,48045.65,0
2024-03-07 09:19:00,48043.0,48050.75,48012.1,48024.7,0
2024-03-07 09:20:00,48025.95,48025.95,47990.05,48001.05,0
2024-03-07 09:21:00,48000.95,48011.35,47993.5,48000.85,0
2024-03-07 09:22:00,47999.25,48003.45,47951.15,47964.3,0
2024-03-07 09:23:00,47965.0,48004.6,47960.9,47996.1,0
2024-03-07 09:24:00,47988.05,48014.0,47988.05,48006.65,0
2024-03-07 09:25:00,48005.85,48011.35,47972.9,47978.25,0
2024-03-07 09:26:00,47978.3,47989.35,47966.1,47989.35,0
2024-03-07 09:27:00,47983.5,47983.5,47928.3,47955.75,0
2024-03-07 09:28:00,47953.35,47959.2,47922.95,47930.15,0
2024-03-07 09:29:00,47924.8,47927.8,47907.4,47919.75,0
2024-03-07 09:30:00,47918.95,47963.85,47915.0,47959.95,0
2024-03-07 09:31:00,47959.6,47962.5,47879.15,47912.5,0
2024-03-07 09:32:00,47918.0,47925.55,47896.55,47914.15,0
2024-03-07 09:33:00,47910.45,47961.8,47910.45,47944.35,0
2024-03-07 09:34:00,47949.2,47956.3,47935.05,47935.05,0
2024-03-07 09:35:00,47941.1,47958.55,47937.0,47952.75,0
2024-03-07 09:36:00,47954.45,47958.2,47945.6,47953.4,0
2024-03-07 09:37:00,47953.2,47966.1,47925.7,47925.7,0
2024-03-07 09:38:00,47923.5,47938.55,47915.7,47919.35,0
2024-03-07 09:39:00,47917.4,47927.65,47891.55,47896.2,0
2024-03-07 09:40:00,47891.35,47926.75,47889.15,47918.1,0
2024-03-07 09:41:00,47914.55,47914.55,47885.9,47895.0,0
2024-03-07 09:42:00,47896.25,47910.2,47869.2,47907.35,0
2024-03-07 09:43:00,47910.45,47927.0,47906.45,47923.45,0
2024-03-07 09:44:00,47919.35,47929.95,47911.1,47928.65,0
2024-03-07 09:45:00,47925.65,47936.8,47906.0,47934.05,0
2024-03-07 09:46:00,47931.5,47942.8,47929.1,47936.75,0
2024-03-07 09:47:00,47937.0,47938.0,47911.25,47923.1,0
2024-03-07 09:48:00,47925.35,47925.35,47903.0,47903.6,0
2024-03-07 09:49:00,47902.5,47912.6,47899.45,47899.5,0
2024-03-07 09:50:00,47901.85,47910.75,47855.15,47909.05,0
2024-03-07 09:51:00,47909.2,47918.45,47900.5,47901.15,0
2024-03-07 09:52:00,47903.9,47903.9,47890.3,47896.6,0
2024-03-07 09:53:00,47894.65,47898.3,47879.5,47884.45,0
2024-03-07 09:54:00,47878.7,47878.95,47849.6,47860.55,0
2024-03-07 09:55:00,47861.95,47872.15,47837.4,47868.6,0
2024-03-07 09:56:00,47869.35,47888.2,47866.75,47888.2,0
2024-03-07 09:57:00,47889.35,47891.75,47864.8,47865.55,0
